,repository_name,language
0,.github,.github
1,ads-advanced-tools-docs,ads-advanced-tools-docs
2,ads-pao-amznjs-gtm-template,ads-pao-amznjs-gtm-template
3,alexa-coho,alexa-coho
4,alexa-skills-kit-js,alexa-skills-kit-js
5,amazon-ads-advertiser-audience-normalization-sdk-py,amazon-ads-advertiser-audience-normalization-sdk-py
6,amazon-advertising-api-php-sdk,amazon-advertising-api-php-sdk
7,amazon-codeguru-profiler-for-spark,amazon-codeguru-profiler-for-spark
8,amazon-frustration-free-setup-certification-tool,amazon-frustration-free-setup-certification-tool
9,amazon-hub-counter-api-docs,amazon-hub-counter-api-docs
10,amazon-hub-counter-api-samples,amazon-hub-counter-api-samples
11,amazon-hub-counter-sdk-java,amazon-hub-counter-sdk-java
12,amazon-hub-support,amazon-hub-support
13,amazon-instant-access-sdk-java,amazon-instant-access-sdk-java
14,amazon-instant-access-sdk-net,amazon-instant-access-sdk-net
15,amazon-instant-access-sdk-php,amazon-instant-access-sdk-php
16,amazon-instant-access-sdk-ruby,amazon-instant-access-sdk-ruby
17,amazon-launcher-integration-cordova-plugin,amazon-launcher-integration-cordova-plugin
18,amazon-marketing-stream-examples,amazon-marketing-stream-examples
19,amazon-mcf-plugin-for-magento-1,amazon-mcf-plugin-for-magento-1
20,amazon-multi-token-completion,amazon-multi-token-completion
21,amazon-nearest-neighbor-through-ecc,amazon-nearest-neighbor-through-ecc
22,amazon-pay-api-sdk-dotnet,amazon-pay-api-sdk-dotnet
23,amazon-pay-api-sdk-java,amazon-pay-api-sdk-java
24,amazon-pay-api-sdk-nodejs,amazon-pay-api-sdk-nodejs
25,amazon-pay-api-sdk-php,amazon-pay-api-sdk-php
26,amazon-pay-api-sdk-ruby,amazon-pay-api-sdk-ruby
27,amazon-pay-sdk-csharp,amazon-pay-sdk-csharp
28,amazon-pay-sdk-java,amazon-pay-sdk-java
29,amazon-pay-sdk-php,amazon-pay-sdk-php
30,amazon-pay-sdk-python,amazon-pay-sdk-python
31,amazon-pay-sdk-ruby,amazon-pay-sdk-ruby
32,amazon-pay-sdk-samples,amazon-pay-sdk-samples
33,amazon-payment-files-tools,amazon-payment-files-tools
34,amazon-payments-magento-2-plugin,amazon-payments-magento-2-plugin
35,amazon-ray,amazon-ray
36,amazon-s3-gst-plugin,amazon-s3-gst-plugin
37,amazon-sidewalk-android-samples,amazon-sidewalk-android-samples
38,amazon-sidewalk-ios-samples,amazon-sidewalk-ios-samples
39,amazon-succinct-doc-representation,amazon-succinct-doc-representation
40,amazon-template-library,amazon-template-library
41,amazon-weak-ner-needle,amazon-weak-ner-needle
42,amigitenough,amigitenough
43,amzn-drivers,amzn-drivers
44,amzn-ec2-ena-utilities,amzn-ec2-ena-utilities
45,armbench,armbench
46,auction-gym,auction-gym
47,augment-the-pairs-wacv2024,augment-the-pairs-wacv2024
48,autotrail,autotrail
49,aws-apigateway-client-lib,aws-apigateway-client-lib
50,aws-sigv4-signing-samples,aws-sigv4-signing-samples
51,awsssmchaosrunner,awsssmchaosrunner
52,basis-point-sets,basis-point-sets
53,BayesPE,BayesPE
54,buy-with-prime-automate-tenant-validation,buy-with-prime-automate-tenant-validation
55,buy-with-prime-cdk-constructs,buy-with-prime-cdk-constructs
56,buy-with-prime-event-accelerator,buy-with-prime-event-accelerator
57,buy-with-prime-monitoring-sample-cdk,buy-with-prime-monitoring-sample-cdk
58,buy-with-prime-oauth-handler-ec2,buy-with-prime-oauth-handler-ec2
59,buy-with-prime-saas-integration,buy-with-prime-saas-integration
60,chalet-charging-location-for-electric-trucks,chalet-charging-location-for-electric-trucks
61,computer-vision-basics-in-microsoft-excel,computer-vision-basics-in-microsoft-excel
62,confident-sinkhorn-allocation,confident-sinkhorn-allocation
63,convolutional-handwriting-gan,convolutional-handwriting-gan
64,cosearcher,cosearcher
65,credence-to-causal-estimation,credence-to-causal-estimation
66,data-jack-knife,data-jack-knife
67,debiased-balanced-interleaving,debiased-balanced-interleaving
68,differential-privacy-bayesian-optimization,differential-privacy-bayesian-optimization
69,distance-assistant,distance-assistant
70,drs-sample-android-app,drs-sample-android-app
71,drs-sample-ios-app,drs-sample-ios-app
72,emukit-playground,emukit-playground
73,eslint-plugin-no-date-parsing,eslint-plugin-no-date-parsing
74,exoplayer-amazon-port,exoplayer-amazon-port
75,explainable-text-vqa,explainable-text-vqa
76,extremely-efficient-query-encoder,extremely-efficient-query-encoder
77,faithful-data2text-cycle-training,faithful-data2text-cycle-training
78,fashion-attribute-disentanglement,fashion-attribute-disentanglement
79,fire-app-builder,fire-app-builder
80,firetv-sample-touch-app,firetv-sample-touch-app
81,ftv-integration-sdk-sample-app,ftv-integration-sdk-sample-app
82,ftv-livetv-sample-tv-app,ftv-livetv-sample-tv-app
83,gameon-sample-game-unity,gameon-sample-game-unity
84,gameon-starter-kit-unity,gameon-starter-kit-unity
85,git-commit-template,git-commit-template
86,glad,glad
87,golang-gitoperations,golang-gitoperations
88,halo-third-party-sdk-for-java,halo-third-party-sdk-for-java
89,halo-third-party-sdk-for-node-js,halo-third-party-sdk-for-node-js
90,halo-third-party-sdk-for-python,halo-third-party-sdk-for-python
91,hawktracer,hawktracer
92,image-misspell-coling2020,image-misspell-coling2020
93,image-to-recipe-transformers,image-to-recipe-transformers
94,informative-diverse-hard-negative-sampling,informative-diverse-hard-negative-sampling
95,ion-cascading-config,ion-cascading-config
96,ion-object-mapper-dotnet,ion-object-mapper-dotnet
97,jekyll-doc-project,jekyll-doc-project
98,kotlin-inject-anvil,kotlin-inject-anvil
99,kqr,kqr
100,login-with-amazon-oscommerce,login-with-amazon-oscommerce
101,login-with-amazon-wordpress,login-with-amazon-wordpress
102,media3-external-port,media3-external-port
103,merlin-on-demand-callgraph,merlin-on-demand-callgraph
104,metalearn-leap,metalearn-leap
105,milan,milan
106,MonitoringCustomMetrics,MonitoringCustomMetrics
107,mrc-net-6d-pose,mrc-net-6d-pose
108,multiconer-baseline,multiconer-baseline
109,multilingual-keyphrase-generation,multilingual-keyphrase-generation
110,multimodal-affinities,multimodal-affinities
111,MXFusion,MXFusion
112,nimbus-jose-jwt_aws-kms-extension,nimbus-jose-jwt_aws-kms-extension
113,node-jose_aws-kms-extension,node-jose_aws-kms-extension
114,openapi-swift-code-generate,openapi-swift-code-generate
115,orthogonal-additive-gaussian-processes,orthogonal-additive-gaussian-processes
116,oss-attribution-builder,oss-attribution-builder
117,oss-contribution-tracker,oss-contribution-tracker
118,oss-dashboard,oss-dashboard
119,pecos,pecos
120,pretraining-or-self-training,pretraining-or-self-training
121,python-jose_aws-kms-extension,python-jose_aws-kms-extension
122,rdma-core,rdma-core
123,refuel-open-domain-qa,refuel-open-domain-qa
124,rete-thewebconf-2022,rete-thewebconf-2022
125,rheoceros,rheoceros
126,robotiq-gripper-interface,robotiq-gripper-interface
127,sample-fire-tv-app-video-skill,sample-fire-tv-app-video-skill
128,selling-partner-api-docs,selling-partner-api-docs
129,selling-partner-api-models,selling-partner-api-models
130,selling-partner-api-samples,selling-partner-api-samples
131,seqzero,seqzero
132,service-model-swift-code-generate,service-model-swift-code-generate
133,sketch-constructor,sketch-constructor
134,smoke-aws,smoke-aws
135,smoke-aws-credentials,smoke-aws-credentials
136,smoke-aws-generate,smoke-aws-generate
137,smoke-aws-support,smoke-aws-support
138,smoke-dynamodb,smoke-dynamodb
139,smoke-framework,smoke-framework
140,smoke-framework-application-generate,smoke-framework-application-generate
141,smoke-framework-examples,smoke-framework-examples
142,smoke-http,smoke-http
143,sparse-vqvae,sparse-vqvae
144,ss-aga-kgc,ss-aga-kgc
145,sto-transformer,sto-transformer
146,style-dictionary,style-dictionary
147,supply-chain-simulation-environment,supply-chain-simulation-environment
148,tiny-attribution-generator,tiny-attribution-generator
149,traffic-quality-smart-pixel-loader,traffic-quality-smart-pixel-loader
